"1_Mot"	"2_Phono"	"3_Phono_IPA"	"4_Lemme"	"5_Cgram"	"6_CgramOrtho"	"7_Genre"	"8_Nombre"	"9_InfoVER"	"10_FreqMot"	"11_FreqOrtho"	"12_FreqLemme"	"13_CDOrtho"	"14_IsLem"	"15_NbLettres"	"16_NbPhons"	"17_OLD20"	"18_PLD20"	"19_CVOrtho"	"20_CVPhono"	"21_VoisOrtho"	"22_VoisPhono"	"23_NbHomog"	"24_NbHomoph"	"25_SyllPhono"	"26_SyllNb"	"27_SyllCV"	"28_PUOrtho"	"29_PUPhon"	"30_MorphoBase"	"31_MorphoStruct"	"32_MorphoDecomp"	"33_Preval"	"34_PrevalNb"	"35_RT_FLP"	"36_zRT_FLP"	"37_Err_FLP"
non	n§	nɔ̃	non	ADV	ADV,NOM	""	""	""	4069.383	4073.984	4070.880	98.86558	1	3	2	1	1	CVC	CVV	20	91	1	4	n§	1	CV	3	3	non	"0-1-0"	/non			631.98	-0.498474354	0
y	i	i	y	PRO:per	PRO:per,NOM	""	""	""	4046.437	4083.807	4548.690	99.34783	1	1	1	1	1	V	V	25	37	1	5	i	1	V	1	1	""	"0-0-0"	""					
t'	t	t	t'	PRO:per	PRO:per	""	s	""	3877.266	3877.266	7500.038	95.83895	1	2	1	1.1	1	C'	C	16	113	0	2	t	1	C	2	1	""	"0-0-0"	""					
avec	avEk	avɛk	avec	PRE	ADV,PRE	""	""	""	3838.671	3938.060	3839.082	99.32027	1	4	4	1.7	1.75	VCVC	VCVC	5	4	1	1	a-vEk	2	V-CVC	4	4	avec	"0-1-0"	/avec			588.7826087	-0.683845776	0.041666667
que	k°	kə	que	PRO:rel	ADV,PRO:int,CON,PRO:rel	""	""	""	3790.478	14272.911	6013.373	99.74280	1	3	2	1	1.6	CVV	CVV	18	113	3	3	k°	1	CV	3	3	""	"0-1-0"	/que			674	-0.191474237	0
plus	ply	ply	plus	ADV	NOM,ADV,VER	""	""	""	3746.611	3769.108	3747.066	99.49173	1	4	3	1.4	1.05	CCVC	CCV	5	15	2	6	ply	1	CCV	4	3	plus	"0-1-0"	/plus	95	20	565.4583333	-0.832170799	0
mon	m§	mɔ̃	mon	ADJ:pos	ADJ:pos,NOM,PRO:pos	""	s	""	3716.462	3717.418	6962.576	99.04164	1	3	2	1	1	CVC	CVV	22	147	2	3	m§	1	CV	3	3	mon	"0-1-0"	/mon			749.8947368	0.074397631	0.136363636
m'	m	m	m'	PRO:per	PRO:per	""	s	""	3518.051	3518.051	7999.585	98.79976	1	2	1	1.15	1	C'	C	16	75	0	3	m	1	C	2	1	""	""	""					
te	t°	tə	te	PRO:per	PRO:per	""	s	""	3493.949	3493.965	7500.038	96.17728	1	2	2	1	1.6	CV	CVV	19	21	0	0	t°	1	CV	2	3	te	"0-1-0"	/te			963.4666667	1.048829779	0.25
au	o	o	au	ART:def	ART:def	m	s	""	3422.348	3422.370	4174.959	99.33864	1	2	1	1	1	VV	V	30	37	0	14	o	1	V	2	1	""	"0-0-0"	""			712.3128834	-0.065599379	0.051428571
