"id"	"1_Mot"	"4_Lemme"	"5_Cgram"	"7_Genre"	"10_FreqMot"	"12_FreqLemme"
1	de	de	PRE	""	26323.301	34097.073
2	je	je	PRO:per	""	25930.797	35592.509
3	est	être	VER	""	19266.114	35040.212
4	pas	pas	ADV	""	18089.722	18098.642
5	vous	vous	PRO:per	""	14039.193	15872.566
6	tu	tu	PRO:per	""	13851.563	14981.437
7	le	le	ART:def	m	13176.114	43109.440
8	c'	c'	PRO:dem	""	12973.842	18912.297
9	et	et	CON	""	12851.275	12855.440
10	à	à	PRE	""	12764.038	12768.269
11	il	il	PRO:per	m	12534.930	16479.203
12	un	un	ART:ind	m	11973.908	24523.364
13	ne	ne	ADV	""	10469.953	17693.877
14	que	que	CON	""	9744.364	13632.206
15	j'	j'	PRO:per	""	9259.354	35592.509
16	ça	ça	PRO:dem	""	8446.718	8458.785
17	on	on	PRO:per	""	8250.566	8523.301
18	une	une	ART:ind	f	8200.772	24523.364
19	d'	d'	PRE	""	7741.263	34097.073
20	pour	pour	PRE	""	7716.873	7717.560
21	l'	l'	ART:def	""	7646.744	43109.440
22	n'	ne	ADV	""	7190.028	17693.877
23	a	avoir	AUX	""	6777.323	19741.582
24	en	en	PRE	""	5839.000	5839.646
25	ai	avoir	AUX	""	5199.114	19741.582
26	ce	ce	PRO:dem	""	5136.253	18912.297
27	mais	mais	CON	""	5100.756	5101.864
28	qui	qui	PRO:rel	""	5042.016	5044.826
29	a	avoir	VER	m	4843.560	13032.016
30	nous	nous	PRO:per	""	4773.285	5105.804
31	dans	dans	PRE	""	4720.829	4721.560
32	elle	elle	PRO:per	f	4591.655	5183.788
33	me	me	PRO:per	""	4466.684	7999.585
34	bien	bien	ADV	""	4424.320	4425.085
35	du	du	ART:def	m	4123.684	4124.427
36	non	non	ADV	""	4069.383	4070.880
37	y	y	PRO:per	""	4046.437	4548.690
38	t'	t'	PRO:per	""	3877.266	7500.038
39	avec	avec	PRE	""	3838.671	3839.082
40	que	que	PRO:rel	""	3790.478	6013.373
41	plus	plus	ADV	""	3746.611	3747.066
42	mon	mon	ADJ:pos	""	3716.462	6962.576
43	m'	m'	PRO:per	""	3518.051	7999.585
44	te	te	PRO:per	""	3493.949	7500.038
45	au	au	ART:def	m	3422.348	4174.959
46	le	le	PRO:per	m	3362.661	9593.047
47	l'	l'	PRO:per	""	3288.589	9593.047
48	est	être	AUX	""	3264.870	8402.797
49	moi	moi	PRO:per	""	3250.123	5018.310
50	va	aller	VER	m	3137.911	9795.946
51	oui	oui	ADV	""	3111.411	3112.547
52	faire	faire	VER	m	3038.506	9061.728
53	en	en	PRO:per	""	3017.880	3091.585
54	ils	ils	PRO:per	m	2940.297	16479.203
55	sur	sur	PRE	""	2885.345	2885.832
56	si	si	ADV	""	2881.589	2881.975
57	ce	ce	ADJ:dem	m	2837.642	6521.715
58	fait	faire	VER	""	2781.813	9061.728
59	était	être	VER	""	2741.959	35040.212
60	sais	savoir	VER	""	2731.453	4973.842
61	se	se	PRO:per	""	2685.443	5002.028
62	suis	être	VER	""	2648.307	35040.212
63	ai	avoir	VER	""	2426.620	13032.016
64	veux	vouloir	VER	""	2414.044	5239.237
65	ici	ici	ADV	""	2271.794	2272.699
66	qu'	qu'	PRO:rel	""	2216.399	6013.373
67	toi	toi	PRO:per	""	2202.291	2817.525
68	comme	comme	CON	""	2187.566	2187.962
69	dit	dire	VER	""	2182.177	6099.386
70	lui	lui	PRO:per	""	2141.630	2610.851
71	votre	votre	ADJ:pos	""	2106.601	2759.155
72	as	avoir	AUX	""	2096.155	19741.582
73	là	là	ADV	""	1979.250	2140.142
74	cette	cette	ADJ:dem	f	1968.630	6521.715
75	rien	rien	PRO:ind	""	1948.259	1948.927
76	peux	pouvoir	VER	""	1930.589	6267.658
77	quand	quand	CON	""	1863.006	1863.234
78	dire	dire	VER	""	1803.861	6099.386
79	son	son	ADJ:pos	""	1778.316	3785.924
80	es	être	VER	""	1725.427	35040.212
81	vais	aller	VER	""	1713.085	9795.946
82	alors	alors	ADV	""	1706.484	1706.674
83	ton	ton	ADJ:pos	""	1626.924	3406.509
84	par	par	PRE	""	1601.222	1601.386
85	chose	chose	NOM	e	1564.652	2089.133
86	ou	ou	CON	""	1554.009	1555.006
87	des	des	ART:ind	""	1510.377	1510.652
88	si	si	CON	""	1509.994	2445.506
89	suis	être	AUX	""	1461.854	8402.797
90	très	très	ADV	""	1435.576	1435.756
91	où	où	PRO:rel	""	1422.911	1423.434
92	sont	être	VER	""	1420.161	35040.212
93	être	être	VER	""	1384.117	35040.212
94	jamais	jamais	ADV	""	1360.658	1360.883
95	oh	oh	ONO	""	1356.013	1361.563
96	vraiment	vraiment	ADV	""	1350.440	1350.646
97	allez	aller	VER	""	1342.392	9795.946
98	aussi	aussi	ADV	""	1328.608	1328.987
99	pourquoi	pourquoi	ADV	""	1317.804	1317.832
100	avez	avoir	AUX	""	1302.696	19741.582
101	voir	voir	VER	""	1302.389	3679.820
102	peut	pouvoir	VER	""	1296.434	6267.658
103	fais	faire	VER	""	1272.867	9061.728
104	été	être	VER	m	1267.070	35040.212
105	tout	tout	PRO:ind	m	1261.544	1638.063
106	sa	sa	ADJ:pos	f	1260.028	3785.924
107	ces	ces	ADJ:dem	""	1211.918	6521.715
108	maintenant	maintenant	ADV	""	1205.636	1205.810
109	ta	ta	ADJ:pos	f	1157.652	3406.509
110	est-ce que	est-ce que	ADV	""	1143.016	1144.415
111	as	avoir	VER	""	1141.054	13032.016
112	temps	temps	NOM	m	1123.481	1123.649
113	ont	avoir	AUX	""	1117.364	19741.582
114	les	les	PRO:per	""	1112.592	9593.047
115	juste	juste	ADJ	e	1112.142	1115.753
116	toujours	toujours	ADV	""	1083.718	1083.835
117	encore	encore	ADV	""	1065.934	1066.051
118	êtes	être	VER	""	1058.066	35040.212
119	quelque	quelque	ADJ:ind	""	1055.835	1461.896
120	besoin	besoin	NOM	m	1054.538	1070.968
121	notre	notre	ADJ:pos	""	1052.196	1559.896
122	merci	merci	ONO	""	1030.326	1030.361
123	mes	mes	ADJ:pos	""	1028.275	6962.576
124	dois	devoir	VER	""	1018.804	3830.592
125	quoi	quoi	PRO:rel	""	979.323	979.823
126	accord	accord	NOM	m	974.725	979.763
127	vie	vie	NOM	f	962.829	1015.437
128	deux	deux	ADJ:num	""	961.598	961.823
129	peut-être	peut-être	ADV	""	957.345	958.383
130	fois	fois	NOM	f	946.456	946.579
131	faut	falloir	VER	""	945.816	1197.820
132	bon	bon	ADJ	m	943.497	1011.253
133	tout	tout	ADV	""	936.177	936.456
134	s'	s'	CON	""	933.668	2445.506
135	aller	aller	VER	""	931.810	9795.946
136	comment	comment	ADV	""	930.519	930.525
137	vas	aller	VER	""	915.035	9795.946
138	tout	tout	ADJ	m	907.193	2570.003
139	donc	donc	CON	""	907.111	908.918
140	tous	tout	ADJ	m	894.997	2570.003
141	être	être	AUX	""	882.535	8402.797
142	dis	dire	VER	""	864.009	6099.386
143	monde	monde	NOM	m	863.487	873.522
144	sans	sans	PRE	""	861.231	861.443
145	même	même	ADV	""	858.060	862.019
146	peu	peu	NOM	m	850.636	850.665
147	sûr	sûr	ADJ	m	847.339	1016.275
148	vu	voir	VER	m	846.753	3679.820
149	avoir	avoir	AUX	""	841.731	19741.582
150	quelqu'un	quelqu'un	PRO:ind	""	837.544	838.997
151	crois	croire	VER	""	833.079	1612.497
152	trop	trop	ADV	""	819.801	819.927
153	ouais	ouais	ADV	""	816.085	816.269
154	parler	parler	VER	""	807.728	2026.244
155	père	père	NOM	m	793.500	1030.823
156	pense	penser	VER	""	787.177	2085.206
157	dieu	dieu	NOM	m	760.655	800.418
158	aux	aux	ART:def	""	751.598	4174.959
159	ses	ses	ADJ:pos	""	745.003	3785.924
160	aime	aimer	VER	""	739.709	1601.354
161	homme	homme	NOM	m	738.120	1248.636
162	que	que	PRO:int	""	737.972	1475.241
163	viens	venir	VER	""	735.677	2424.339
164	qu'	qu'	PRO:int	""	734.873	1475.241
165	pourquoi	pourquoi	CON	""	730.313	730.747
166	eu	avoir	VER	m	724.794	13032.016
167	doit	devoir	VER	""	718.655	3830.592
168	veut	vouloir	VER	""	712.642	5239.237
169	étais	être	VER	""	708.111	35040.212
170	avez	avoir	VER	""	702.959	13032.016
171	ans	an	NOM	m	699.199	812.361
172	vrai	vrai	ADJ	m	687.237	817.032
173	autre	autre	ADJ	""	685.737	812.582
174	chez	chez	PRE	""	669.310	669.380
175	beaucoup	beaucoup	ADV	""	665.247	665.332
176	parce que	parce que	CON	""	661.769	871.297
177	déjà	déjà	ADV	""	659.582	659.627
178	vos	vos	ADJ:pos	""	651.937	2759.155
179	avait	avoir	VER	""	643.703	13032.016
180	après	après	PRE	""	635.737	635.880
181	gens	gens	NOM	e	623.446	623.487
182	tes	tes	ADJ:pos	""	620.854	3406.509
183	vois	voir	VER	""	613.453	3679.820
184	avant	avant	PRE	""	611.946	612.003
185	quel	quel	ADJ:int	m	605.063	1088.092
186	bonne	bon	ADJ	f	595.873	671.171
187	voilà	voilà	PRE	""	578.873	578.949
188	cela	cela	PRO:dem	""	578.769	578.972
189	mieux	mieux	ADV	""	575.038	575.095
190	maison	maison	NOM	f	574.943	602.927
191	comment	comment	CON	""	574.649	574.949
192	où	où	PRO:int	""	564.478	564.500
193	voulez	vouloir	VER	""	552.905	5239.237
194	personne	personne	PRO:ind	m	549.794	549.880
195	jour	jour	NOM	m	547.117	920.943
196	soir	soir	NOM	m	542.715	559.304
197	prendre	prendre	VER	""	540.820	1894.187
198	monsieur	monsieur	NOM	m	525.665	639.250
199	un	un	PRO:ind	m	525.611	754.383
200	choses	chose	NOM	e	521.484	2089.133
201	sont	être	AUX	""	519.835	8402.797
202	comme	comme	ADV	""	518.468	518.472
203	passe	passer	VER	""	515.987	1522.114
204	allons	aller	VER	""	511.453	9795.946
205	depuis	depuis	PRE	""	509.168	509.203
206	faites	faire	VER	f	508.047	9061.728
207	nos	nos	ADJ:pos	""	507.519	1559.896
208	fait	fait	NOM	m	506.104	535.142
209	cet	cet	ADJ:dem	m	502.788	6521.715
210	regarde	regarder	VER	""	502.658	1095.016
211	nom	nom	NOM	m	500.430	550.136
212	femme	femme	NOM	f	499.927	645.807
213	avoir	avoir	VER	""	498.541	13032.016
214	nuit	nuit	NOM	f	498.332	524.057
215	moment	moment	NOM	m	487.911	520.392
216	argent	argent	NOM	m	487.497	488.041
217	petit	petit	ADJ	m	486.835	948.199
218	savez	savoir	VER	""	486.101	4973.842
219	es	être	AUX	""	483.573	8402.797
220	bonjour	bonjour	NOM	m	482.332	483.788
221	raison	raison	NOM	f	479.835	527.253
222	arrive	arriver	VER	""	478.627	1211.342
223	tout	tout	ADJ:ind	m	477.570	611.342
224	savoir	savoir	VER	""	475.405	4973.842
225	sera	être	VER	""	471.468	35040.212
226	maman	maman	NOM	f	470.582	698.617
227	voulais	vouloir	VER	""	468.272	5239.237
228	leur	leur	ADJ:pos	""	467.481	724.687
229	moins	moins	ADV	""	465.361	465.582
230	aider	aider	VER	""	463.516	802.867
231	autre	autre	PRO:ind	""	463.013	660.225
232	air	air	NOM	m	454.759	463.335
233	gars	gars	NOM	m	444.206	461.187
234	ah	ah	ONO	""	442.294	444.171
235	problème	problème	NOM	m	441.949	580.383
236	pouvez	pouvoir	VER	""	437.446	6267.658
237	attends	attendre	VER	""	434.535	1269.411
238	merci	merci	NOM	e	433.070	433.927
239	eh	eh	ONO	""	431.354	431.503
240	peur	peur	NOM	f	430.943	436.759
241	pourrait	pouvoir	VER	""	430.911	6267.658
242	ok	ok	ADJ	""	425.883	426.389
243	appelle	appeler	VER	""	425.440	1136.405
244	fille	fille	NOM	f	420.924	566.994
245	trouver	trouver	VER	""	418.522	1476.832
246	bon	bon	ONO	""	417.658	417.722
247	jusqu'	jusqu'	PRE	""	416.870	433.392
248	trouvé	trouver	VER	m	416.503	1476.832
249	assez	assez	ADV	""	415.848	415.905
250	famille	famille	NOM	f	412.193	442.437
251	fils	fils	NOM	m	411.354	514.953
252	avais	avoir	VER	""	409.851	13032.016
253	travail	travail	NOM	m	409.693	427.272
254	plaît	plaire	VER	""	408.623	500.994
255	quelques	quelques	ADJ:ind	""	405.649	1461.896
256	sait	savoir	VER	""	405.361	4973.842
257	laisse	laisser	VER	""	405.130	1354.038
258	toute	tout	ADJ	f	402.722	2570.003
259	tête	tête	NOM	f	400.934	422.155
260	pu	pouvoir	VER	""	400.446	6267.658
261	seul	seul	ADJ	m	398.699	808.089
262	parle	parler	VER	""	398.155	2026.244
263	mère	mère	NOM	f	398.089	408.297
264	entre	entre	PRE	""	397.585	397.639
265	pris	prendre	VER	""	396.991	1894.187
266	quelle	quelle	ADJ:int	f	396.573	1088.092
267	arrête	arrêter	VER	""	396.541	998.823
268	avais	avoir	AUX	""	396.057	19741.582
269	dû	devoir	VER	m	393.630	3830.592
270	partir	partir	VER	""	392.744	1035.642
271	même	même	ADJ	e	391.940	427.671
272	juste	juste	ADV	""	390.962	391.013
273	mal	mal	ADV	""	390.291	390.373
274	hé	hé	ONO	""	389.842	390.161
275	voiture	voiture	NOM	f	383.623	422.921
276	enfants	enfant	NOM	m	383.025	628.997
277	ont	avoir	VER	""	381.576	13032.016
278	vite	vite	ADV	""	379.877	380.449
279	soit	être	VER	""	378.013	35040.212
280	pendant	pendant	PRE	""	377.161	377.187
281	tuer	tuer	VER	""	376.639	967.456
282	aurais	avoir	AUX	""	375.703	19741.582
283	idée	idée	NOM	f	374.823	429.161
284	jours	jour	NOM	m	373.563	920.943
285	chance	chance	NOM	f	371.769	405.177
286	aujourd'hui	aujourd'hui	ADV	""	369.712	370.585
287	était	être	AUX	""	368.772	8402.797
288	elles	elles	PRO:per	f	368.028	5183.788
289	hein	hein	ONO	""	367.028	367.228
290	mec	mec	NOM	m	366.291	440.304
291	avait	avoir	AUX	""	365.250	19741.582
292	toutes	tout	ADJ	f	364.699	2570.003
293	venir	venir	VER	""	363.706	2424.339
294	passer	passer	VER	""	358.949	1522.114
295	truc	truc	NOM	m	357.472	493.003
296	passé	passer	VER	""	356.668	1522.114
297	combien	combien	ADV	""	355.297	355.370
298	connais	connaître	VER	""	355.266	846.060
299	tant	tant	ADV	""	351.497	351.525
300	trois	trois	ADJ:num	""	344.155	344.421
301	ami	ami	NOM	m	341.278	767.465
302	serait	être	VER	""	340.706	35040.212
303	seule	seul	ADJ	f	340.456	808.089
304	vient	venir	VER	""	340.351	2424.339
305	prends	prendre	VER	""	339.509	1894.187
306	coup	coup	NOM	m	338.810	408.585
307	heure	heure	NOM	f	337.025	609.022
308	sortir	sortir	VER	""	336.807	920.845
309	comprends	comprendre	VER	""	336.291	830.965
310	avons	avoir	AUX	""	332.991	19741.582
311	importe	importer	VER	""	329.405	336.826
312	devrais	devoir	VER	""	327.930	3830.592
313	tard	tard	ADV	""	326.405	326.418
314	dites	dire	VER	f	321.937	6099.386
315	sang	sang	NOM	m	321.009	321.997
316	donne	donner	VER	""	319.222	1133.864
317	amour	amour	NOM	e	318.839	323.377
318	aurait	avoir	AUX	""	318.354	19741.582
319	contre	contre	PRE	""	318.263	318.307
320	part	part	NOM	e	317.348	324.883
321	cas	cas	NOM	m	317.316	323.528
322	petite	petit	ADJ	f	315.016	948.199
323	mort	mort	NOM	e	315.013	373.975
324	sommes	être	VER	""	313.047	35040.212
325	rester	rester	VER	""	312.266	924.022
326	demain	demain	ADV	""	311.190	311.225
327	pensais	penser	VER	""	309.851	2085.206
328	désolé	désoler	VER	m	309.247	490.905
329	hommes	homme	NOM	m	304.500	1248.636
330	seulement	seulement	ADV	""	304.196	304.259
331	genre	genre	NOM	m	303.791	306.611
332	désolé	désolé	ADJ	m	303.399	450.690
333	question	question	NOM	f	302.858	436.190
334	histoire	histoire	NOM	f	301.794	355.123
335	ensemble	ensemble	ADV	""	298.880	298.965
336	sous	sous	PRE	""	298.250	298.288
337	grand	grand	ADJ	m	296.693	565.278
338	tué	tuer	VER	m	296.655	967.456
339	chercher	chercher	VER	""	296.108	636.981
340	mois	mois	NOM	m	296.063	296.275
341	laisser	laisser	VER	""	296.003	1354.038
342	pourrais	pouvoir	VER	""	294.981	6267.658
343	mettre	mettre	VER	""	294.253	944.310
344	police	police	NOM	f	293.566	295.063
345	avons	avoir	VER	""	292.769	13032.016
346	entendu	entendre	VER	m	292.003	709.867
347	tout	tout	NOM	m	290.880	291.443
348	eux	eux	PRO:per	m	288.269	2610.851
349	dernière	dernier	ADJ	f	288.209	517.108
350	devrait	devoir	VER	""	287.968	3830.592
351	fini	finir	VER	m	287.639	539.525
352	vont	aller	VER	""	285.984	9795.946
353	car	car	CON	""	285.737	285.845
354	chaque	chaque	ADJ:ind	""	285.614	285.630
355	ville	ville	NOM	f	281.361	296.149
356	reste	rester	VER	""	279.291	924.022
357	ok	ok	ADV	""	278.582	278.592
358	putain	putain	NOM	f	276.788	291.794
359	longtemps	longtemps	ADV	""	275.392	275.415
360	mort	mourir	VER	m	275.354	832.506
361	salut	salut	NOM	m	275.310	275.595
362	bébé	bébé	NOM	m	274.712	302.250
363	êtes	être	AUX	""	274.538	8402.797
364	mal	mal	NOM	m	274.288	281.367
365	frère	frère	NOM	m	274.009	405.772
366	parlé	parler	VER	""	272.351	2026.244
367	heures	heure	NOM	f	271.807	609.022
368	laissez	laisser	VER	""	271.054	1354.038
369	écoute	écouter	VER	""	270.918	572.348
370	savais	savoir	VER	""	269.987	4973.842
371	coeur	coeur	NOM	m	268.782	284.816
372	porte	porte	NOM	f	265.190	307.380
373	personne	personne	NOM	f	265.066	440.332
374	trouve	trouver	VER	""	264.750	1476.832
375	train	train	NOM	m	264.661	271.573
376	endroit	endroit	NOM	m	263.639	290.642
377	façon	façon	NOM	f	263.161	279.057
378	donner	donner	VER	""	261.880	1133.864
379	amis	ami	NOM	m	261.459	767.465
380	leur	leur	PRO:per	""	260.370	307.133
381	place	place	NOM	f	258.778	275.266
382	corps	corps	NOM	m	258.307	258.585
383	peu	peu	ADV	""	258.130	258.206
384	tellement	tellement	ADV	""	257.275	257.301
385	affaire	affaire	NOM	f	256.937	452.617
386	leurs	leurs	ADJ:pos	""	256.699	724.687
387	dont	dont	PRO:rel	""	256.478	256.525
388	ni	ni	CON	""	254.677	255.193
389	yeux	oeil	NOM	m	252.405	384.203
390	côté	côté	NOM	m	251.380	287.642
391	demande	demander	VER	""	251.377	926.332
392	penses	penser	VER	""	251.101	2085.206
393	donné	donner	VER	""	250.693	1133.864
394	deux	deux	NOM	m	250.481	250.627
395	aucune	aucune	ADJ:ind	f	250.475	458.301
396	voici	voici	PRE	""	250.313	250.348
397	type	type	NOM	m	249.699	295.744
398	attendez	attendre	VER	""	248.297	1269.411
399	main	main	NOM	f	247.405	440.769
400	matin	matin	NOM	m	246.104	253.443
401	enfant	enfant	NOM	e	245.766	628.997
402	regardez	regarder	VER	""	243.418	1095.016
403	venez	venir	VER	""	242.269	2424.339
404	qu'	qu'	CON	""	240.237	240.775
405	là-bas	là-bas	ADV	""	239.199	239.801
406	demandé	demander	VER	""	238.905	926.332
407	minutes	minute	NOM	f	237.972	404.247
408	puis	puis	CON	""	237.199	237.222
409	euh	euh	ONO	""	236.152	236.544
410	suite	suite	NOM	f	235.737	237.642
411	arrêter	arrêter	VER	""	234.076	998.823
412	point	point	NOM	m	232.013	277.604
413	chambre	chambre	NOM	f	231.772	251.304
414	enfin	enfin	ADV	""	231.680	231.725
415	sens	sentir	VER	""	231.025	539.494
416	dirait	dire	VER	""	230.589	6099.386
417	partie	partie	NOM	f	230.408	249.241
418	super	super	ADJ	e	230.177	230.241
419	perdu	perdre	VER	m	230.025	545.231
420	venu	venir	VER	m	229.820	2424.339
421	loin	loin	ADV	""	229.756	229.807
422	aimerais	aimer	VER	""	229.747	1601.354
423	espère	espérer	VER	""	229.620	337.943
424	aide	aide	NOM	e	229.380	231.570
425	croire	croire	VER	""	228.538	1612.497
426	terre	terre	NOM	f	227.345	247.161
427	eau	eau	NOM	f	226.323	239.519
428	papa	papa	NOM	m	226.028	698.617
429	salut	salut	ONO	""	224.956	224.959
430	mari	mari	NOM	m	224.339	309.769
431	mis	mettre	VER	m	224.155	944.310
432	plutôt	plutôt	ADV	""	222.658	222.671
433	arrivé	arriver	VER	""	222.019	1211.342
434	vers	vers	PRE	""	218.794	218.820
435	cause	cause	NOM	f	218.462	224.003
436	propos	propos	NOM	m	218.440	218.468
437	voulait	vouloir	VER	""	218.016	5239.237
438	demander	demander	VER	""	217.991	926.332
439	celui	celui	PRO:dem	m	216.750	556.089
440	mourir	mourir	VER	""	215.915	832.506
441	jouer	jouer	VER	""	214.873	527.152
442	hier	hier	ADV	""	214.763	214.785
443	docteur	docteur	NOM	m	212.136	226.272
444	boulot	boulot	NOM	m	211.234	217.035
445	première	premier	ADJ	f	210.706	411.294
446	années	année	NOM	f	209.759	360.839
447	appeler	appeler	VER	""	209.589	1136.405
448	parce qu'	parce qu'	CON	""	209.057	871.297
449	confiance	confiance	NOM	f	209.009	209.073
450	merde	merde	ONO	""	208.981	209.038
451	bureau	bureau	NOM	m	207.434	219.184
452	vérité	vérité	NOM	f	206.579	208.858
453	école	école	NOM	f	205.930	217.946
454	chef	chef	NOM	m	205.877	220.117
455	avant	avant	ADV	""	205.788	205.848
456	fin	fin	NOM	e	205.573	211.867
457	étaient	être	VER	""	204.870	35040.212
458	semaine	semaine	NOM	f	204.864	333.437
459	aucun	aucun	ADJ:ind	m	203.228	458.301
460	nouveau	nouveau	ADJ	m	201.902	493.136
461	pensez	penser	VER	""	200.712	2085.206
462	excusez	excuser	VER	""	200.380	357.763
463	sois	être	VER	""	200.354	35040.212
464	journée	journée	NOM	f	199.481	207.383
465	devez	devoir	VER	""	199.364	3830.592
466	souviens	souvenir	VER	""	198.889	324.006
467	madame	madame	NOM	f	198.731	254.953
468	belle	beau	ADJ	f	198.139	451.259
469	possible	possible	ADJ	e	196.823	206.089
470	vivre	vivre	VER	""	195.791	441.066
471	nouvelle	nouveau	ADJ	f	195.759	493.136
472	affaires	affaire	NOM	f	195.627	452.617
473	jeune	jeune	ADJ	e	195.456	241.797
474	gros	gros	ADJ	m	194.839	289.880
475	téléphone	téléphone	NOM	m	193.158	204.731
476	mains	main	NOM	f	193.070	440.769
477	font	faire	VER	""	191.345	9061.728
478	reste	reste	NOM	m	191.193	206.734
479	exactement	exactement	ADV	""	191.063	191.085
480	équipe	équipe	NOM	f	189.972	204.737
481	arriver	arriver	VER	""	189.519	1211.342
482	parti	partir	VER	m	188.028	1035.642
483	sécurité	sécurité	NOM	f	187.949	188.810
484	pardon	pardon	ONO	""	187.487	187.500
485	prêt	prêt	ADJ	m	187.193	347.956
486	étais	être	AUX	""	186.604	8402.797
487	beau	beau	ADJ	m	185.472	451.259
488	presque	presque	ADV	""	185.320	185.345
489	manger	manger	VER	""	184.532	395.060
490	appelé	appeler	VER	m	183.877	1136.405
491	essaie	essayer	VER	""	183.459	837.753
492	important	important	ADJ	m	183.304	251.911
493	prie	prier	VER	""	183.184	228.595
494	pensé	penser	VER	m	183.009	2085.206
495	mariage	mariage	NOM	m	182.633	191.750
496	feu	feu	NOM	m	182.193	197.614
497	garçon	garçon	NOM	m	181.896	431.813
498	capitaine	capitaine	NOM	e	181.551	183.551
499	attendre	attendre	VER	""	180.297	1269.411
500	grande	grand	ADJ	f	179.968	565.278
501	tomber	tomber	VER	""	179.174	374.019
502	compris	comprendre	VER	""	177.228	830.965
503	voyez	voir	VER	""	176.256	3679.820
504	dehors	dehors	ADV	""	175.867	175.902
505	personnes	personne	NOM	f	175.177	440.332
506	parents	parent	NOM	m	175.155	187.934
507	génial	génial	ADJ	m	174.522	206.304
508	aura	avoir	VER	""	173.937	13032.016
509	désolée	désoler	VER	""	173.807	490.905
510	jeu	jeu	NOM	m	173.503	215.652
511	guerre	guerre	NOM	f	172.816	179.959
512	devant	devant	PRE	""	171.823	171.842
513	dur	dur	ADJ	m	171.807	212.085
514	pays	pays	NOM	m	171.263	171.291
515	semble	sembler	VER	""	171.098	297.209
516	fête	fête	NOM	f	169.902	187.152
517	retour	retour	NOM	m	169.544	171.060
518	laissé	laisser	VER	""	168.446	1354.038
519	merde	merde	NOM	f	168.377	176.028
520	bientôt	bientôt	ADV	""	168.171	168.190
521	essayé	essayer	VER	""	167.820	837.753
522	premier	premier	ADJ	m	167.604	411.294
523	numéro	numéro	NOM	m	167.468	184.196
524	penser	penser	VER	""	167.047	2085.206
525	minute	minute	NOM	f	166.215	404.247
526	ainsi	ainsi	ADV	""	166.187	166.244
527	essayer	essayer	VER	""	165.886	837.753
528	h	h	NOM	f	165.519	166.035
529	autant	autant	ADV	""	165.158	165.168
530	envie	envie	NOM	f	164.744	167.718
531	prend	prendre	VER	""	164.566	1894.187
532	prison	prison	NOM	f	163.864	168.228
533	voudrais	vouloir	VER	""	163.595	5239.237
534	travailler	travailler	VER	""	163.152	520.703
535	regarder	regarder	VER	""	162.712	1095.016
536	mot	mot	NOM	m	162.478	259.354
537	peine	peine	NOM	f	162.263	165.927
538	attention	attention	NOM	f	162.117	163.184
539	plan	plan	NOM	m	160.392	194.782
540	rentrer	rentrer	VER	""	160.307	465.915
541	droit	droit	NOM	m	159.427	191.851
542	sera	être	AUX	""	159.158	8402.797
543	choix	choix	NOM	m	158.563	158.598
544	arrêtez	arrêter	VER	""	158.449	998.823
545	pouvoir	pouvoir	VER	""	158.085	6267.658
546	instant	instant	NOM	m	157.962	164.066
547	arme	arme	NOM	f	157.661	261.870
548	prenez	prendre	VER	""	157.652	1894.187
549	entendre	entendre	VER	""	156.655	709.867
550	vieux	vieux	ADJ	m	156.402	246.070
551	parfois	parfois	ADV	""	156.180	156.187
552	facile	facile	ADJ	e	155.772	163.873
553	ensuite	ensuite	ADV	""	155.364	155.377
554	faute	faute	NOM	f	155.165	159.028
555	changer	changer	VER	""	154.592	429.905
556	depuis	depuis	ADV	""	154.323	154.332
557	garder	garder	VER	""	154.310	363.408
558	d'abord	d'abord	ADV	""	154.047	154.380
559	mauvais	mauvais	ADJ	m	153.155	297.278
560	peuvent	pouvoir	VER	""	152.810	6267.658
561	d'autres	d'autres	ADJ:ind	""	152.525	152.715
562	film	film	NOM	m	152.392	199.449
563	allait	aller	VER	""	152.345	9795.946
564	croyais	croire	VER	""	151.858	1612.497
565	l'un	l'un	PRO:ind	m	151.554	152.025
566	travaille	travailler	VER	""	151.190	520.703
567	année	année	NOM	f	150.924	360.839
568	plaisir	plaisir	NOM	m	150.440	155.028
569	fera	faire	VER	""	150.313	9061.728
570	rendre	rendre	VER	""	150.196	495.472
571	entrer	entrer	VER	""	150.127	383.965
572	agent	agent	NOM	m	149.899	191.737
573	tour	tour	NOM	e	149.402	166.497
574	parles	parler	VER	""	149.307	2026.244
575	route	route	NOM	f	148.354	160.231
576	commence	commencer	VER	""	148.342	511.149
577	lieu	lieu	NOM	m	147.595	175.820
578	attend	attendre	VER	""	147.392	1269.411
579	marche	marcher	VER	""	147.187	353.823
580	heureux	heureux	ADJ	m	147.108	242.728
581	propre	propre	ADJ	e	146.943	195.016
582	puis	pouvoir	VER	""	146.307	6267.658
583	voit	voir	VER	""	146.285	3679.820
584	devons	devoir	VER	""	146.259	3830.592
585	étiez	être	VER	""	145.864	35040.212
586	filles	fille	NOM	f	145.851	566.994
587	ceci	ceci	PRO:dem	""	145.763	145.858
588	difficile	difficile	ADJ	e	145.544	163.528
589	femmes	femme	NOM	f	145.399	645.807
590	adore	adorer	VER	""	145.326	243.253
591	service	service	NOM	m	144.997	182.516
592	pouvais	pouvoir	VER	""	144.848	6267.658
593	désolée	désolé	ADJ	f	144.731	450.690
594	qui	qui	PRO:int	""	144.117	144.117
595	sujet	sujet	NOM	m	143.956	155.149
